,0
Column_26,0.015353279612943273
Column_27,0.015198204349711288
Column_0,0.015012692299396545
Column_24,0.014583450333538047
Column_25,0.014489867732274694
Column_1,0.014150230087573679
Column_31,0.013611736600612812
Column_30,0.013556937825371132
Column_28,0.013228552437686513
Column_29,0.01311705848802136
Column_10,0.013056847453023572
Column_35,0.012832965836905278
Column_43,0.012794470321545284
Column_34,0.012791747405755846
Column_93,0.01263763274161578
Column_8,0.012572551085097921
Column_50,0.012560528904460412
Column_2,0.01247406223030571
Column_58,0.012432777687688757
Column_4,0.012359564363566361
Column_66,0.012348159393428955
Column_64,0.012340697824079115
Column_17,0.012327423641328992
Column_79,0.01231542759496409
Column_95,0.012297631479383479
Column_51,0.012297214147247432
Column_54,0.012280930114607192
Column_48,0.012273976443261394
Column_65,0.012246259031597064
Column_67,0.012243638584618384
Column_6,0.012204416645866648
Column_53,0.012170741037233075
Column_49,0.012166304435896414
Column_38,0.012138871257822596
Column_55,0.012129926634656922
Column_42,0.012118757772710561
Column_59,0.012083715655865952
Column_33,0.0120758206542098
Column_40,0.01206459831299352
Column_39,0.012041630828473256
Column_36,0.01198937720893214
Column_52,0.011986230078674852
Column_32,0.011978579560836719
Column_92,0.011961495292346146
Column_37,0.011959466769890303
Column_3,0.011923975568081963
Column_7,0.011897708186396365
Column_56,0.01184932821868697
Column_57,0.011842430449380464
Column_94,0.011820751697988645
Column_41,0.011787520361281788
Column_78,0.011442462312056891
Column_13,0.011109949583905345
Column_77,0.011084491268889983
Column_76,0.010866381610378046
Column_75,0.009951776182337559
Column_70,0.009662790142957489
Column_69,0.009648564834189402
Column_71,0.00960582436772336
Column_11,0.009576106102408314
Column_74,0.009513179088960783
Column_68,0.009414097568043355
Column_72,0.00941402834223124
Column_73,0.009354233754433117
Column_12,0.009313627635429454
Column_9,0.006243190713390423
Column_60,0.005293585542670792
Column_62,0.005268152075631637
Column_99,0.005239329109211591
Column_63,0.005222355580218488
Column_18,0.005207727752876261
Column_107,0.00520484552859853
Column_106,0.0051770458705254945
Column_61,0.005136771592185636
Column_87,0.0050690309059666745
Column_104,0.005068903537772161
Column_97,0.005010780665355729
Column_105,0.004976369919718747
Column_98,0.00494248694699788
Column_20,0.004924292140631194
Column_96,0.0049180471313383985
Column_111,0.004872695774883901
Column_85,0.004864727998720678
Column_109,0.004826653991985464
Column_21,0.004795837675271366
Column_86,0.004783183509877711
Column_84,0.004750636577858367
Column_15,0.004702931895764012
Column_110,0.004647212228204335
Column_108,0.004449113103106424
Column_103,0.004359070459408764
Column_91,0.004220754508958837
Column_82,0.004216825971955883
Column_88,0.0042031669408070065
Column_83,0.004128784518663116
Column_101,0.004115077092841732
Column_16,0.004100732560029511
Column_115,0.004099200149354371
Column_22,0.0040868573734053615
Column_102,0.0040473535945587955
Column_81,0.004045158200271581
Column_14,0.004044385312429685
Column_90,0.004010488563330769
Column_89,0.003996864352396755
Column_113,0.0039838135677076805
Column_112,0.003954742464885927
Column_114,0.003943690531811892
Column_100,0.003937615522113664
Column_19,0.00389559823446094
Column_80,0.003779019944440358
Column_47,0.0014076111874830146
Column_46,0.0012947904037734755
Column_5,0.0012229834804854845
Column_45,0.001174237993270527
Column_44,0.0011473121255926426
Column_116,0.0006489640823247932
Column_119,0.0006278518392866277
Column_23,0.000615506522038496
Column_118,0.00058215079643728
Column_117,0.0005778084629333293
